file_name,category_id,validation_set
b00_i02_a02_20240813_175809_left_0005.jpg,1,0
b01_i02_a03_20240815_145236_left_0005.jpg,1,0
b01_i02_ablauf_20240815_181417_left_0040.jpg,1,0
b00_i03_a02_20240814_140455_left_0002.jpg,2,0
b01_i02_ablauf_20240815_191823_left_0015.jpg,1,0
b01_i01_a00_20240815_170525_left_0001.jpg,0,0
b01_i03_a03_20240814_164622_left_0011.jpg,2,0
b03_i02_ablauf_20240819_151938_left_0047.jpg,1,0
b00_i01_a02_20240813_153745_left_0003.jpg,0,0
b00_i02_a03_20240814_134626_left_0002.jpg,1,0
b01_i01_a00_20240815_170525_left_0004.jpg,0,0
b00_i02_a03_20240813_163834_left_0004.jpg,1,0
b01_i03_a03_20240814_164622_left_0007.jpg,2,0
b00_i01_a02_20240813_152751_left_0002.jpg,0,0
b01_i03_a02_20240814_162236_left_0002.jpg,2,0
b00_i02_a01_20240813_180825_left_0004.jpg,1,0
b01_i03_a03_20240814_170937_left_0007.jpg,2,1
b00_i03_a01_20240814_143128_left_0006.jpg,2,0
b01_i02_a00_20240815_154513_left_0006.jpg,1,0
b01_i02_ablauf_20240815_181417_left_0023.jpg,1,0
b00_i02_a01_20240813_181548_left_0005.jpg,1,0
b01_i02_ablauf_20240815_181417_left_0005.jpg,1,0
b02_i02_ablauf_20240819_152543_left_0043.jpg,1,0
b01_i02_ablauf_20240815_191823_left_0050.jpg,1,0
b00_i03_a03_20240814_142512_left_0012.jpg,2,0
b01_i01_a03_20240815_163923_left_0009.jpg,0,0
b02_i02_ablauf_20240819_151350_left_0005.jpg,1,1
b01_i03_a00_20240814_161137_left_0003.jpg,2,0
b00_i02_a03_20240814_134626_left_0015.jpg,1,0
b00_i01_a03_20240813_161846_left_0012.jpg,0,1
b01_i02_a03_20240815_150546_left_0009.jpg,1,0
b00_i02_a03_20240813_175635_left_0002.jpg,1,0
b00_i01_a03_20240813_151909_left_0007.jpg,0,0
b00_i03_a00_20240814_141552_left_0002.jpg,2,0
b00_i02_a03_20240813_173553_left_0002.jpg,1,0
b01_i02_a01_20240815_154542_left_0006.jpg,1,0
b00_i01_a03_20240813_151909_left_0001.jpg,0,0
b00_i01_a00_20240813_161022_left_0006.jpg,0,0
b01_i01_a02_20240815_162630_left_0026.jpg,0,0
b01_i02_a03_20240815_153345_left_0005.jpg,1,0
b00_i02_a03_20240813_163834_left_0001.jpg,1,0
b01_i01_a03_20240815_165504_left_0011.jpg,0,0
b00_i03_a03_20240814_140058_left_0008.jpg,2,0
b00_i03_a03_20240814_142902_left_0007.jpg,2,1
b00_i01_a00_20240813_153643_left_0003.jpg,0,0
b01_i03_a03_20240814_160536_left_0013.jpg,2,0
b01_i03_a02_20240814_170438_left_0001.jpg,2,0
b01_i02_a02_20240815_150526_left_0002.jpg,1,0
b01_i01_a02_20240815_170028_left_0005.jpg,0,0
b00_i02_a00_20240814_134457_left_0006.jpg,1,0
b00_i03_a01_20240814_142416_left_0002.jpg,2,0
b00_i03_a03_20240814_150735_left_0010.jpg,2,1
b01_i01_a00_20240815_161838_left_0006.jpg,0,0
b01_i01_a03_20240815_171202_left_0011.jpg,0,0
b01_i02_a03_20240815_152536_left_0014.jpg,1,1
b03_i02_ablauf_20240819_151938_left_0006.jpg,1,0
b01_i02_a03_20240815_153807_left_0014.jpg,1,0
b01_i02_a03_20240815_153345_left_0004.jpg,1,0
b00_i03_a03_20240814_151051_left_0005.jpg,2,0
b00_i03_a02_20240814_141241_left_0003.jpg,2,1
b00_i01_a03_20240813_161846_left_0010.jpg,0,0
b01_i03_a02_20240814_161217_left_0002.jpg,2,0
b01_i02_a03_20240815_152536_left_0003.jpg,1,0
b01_i01_a03_20240815_170049_left_0003.jpg,0,0
b01_i02_a03_20240815_150958_left_0005.jpg,1,0
b00_i01_a01_20240813_154537_left_0006.jpg,0,0
b01_i02_a03_20240815_153345_left_0008.jpg,1,0
b00_i03_a00_20240814_135644_left_0004.jpg,2,0
b01_i03_a00_20240814_160034_left_0004.jpg,2,1
b00_i01_a02_20240813_162339_left_0003.jpg,0,0
b01_i01_a01_20240815_162617_left_0002.jpg,0,0
b01_i03_a03_20240814_164622_left_0006.jpg,2,0
b00_i02_a03_20240813_172949_left_0009.jpg,1,0
b00_i02_a03_20240813_171505_left_0004.jpg,1,0
b00_i01_a01_20240813_162046_left_0004.jpg,0,0
b01_i01_a01_20240815_170308_left_0003.jpg,0,0
b01_i01_a03_20240815_164453_left_0007.jpg,0,0
b01_i03_a03_20240814_162252_left_0002.jpg,2,0
b00_i03_a02_20240814_151032_left_0006.jpg,2,1
b00_i01_a02_20240813_162112_left_0005.jpg,0,0
b02_i02_ablauf_20240819_151350_left_0040.jpg,1,0
b00_i03_a03_20240814_143619_left_0006.jpg,2,0
b01_i02_a00_20240815_144721_left_0005.jpg,1,0
b00_i03_a02_20240814_143153_left_0003.jpg,2,0
b00_i03_a03_20240814_140515_left_0010.jpg,2,0
b00_i03_a01_20240814_141214_left_0002.jpg,2,0
b00_i02_a02_20240813_173834_left_0001.jpg,1,0
b01_i03_a03_20240814_170000_left_0008.jpg,2,0
b01_i01_a01_20240815_171035_left_0001.jpg,0,0
b00_i02_a03_20240813_171057_left_0014.jpg,1,0
b02_i02_ablauf_20240819_151350_left_0001.jpg,1,0
b01_i03_a00_20240814_160438_left_0006.jpg,2,0
b00_i02_a03_20240813_171057_left_0002.jpg,1,1
b00_i03_a02_20240814_151032_left_0004.jpg,2,0
b00_i01_a02_20240813_160653_left_0006.jpg,0,1
b00_i01_a00_20240813_155445_left_0001.jpg,0,0
b01_i01_a02_20240815_165452_left_0002.jpg,0,0
b01_i03_a01_20240814_164224_left_0003.jpg,2,0
b01_i01_a03_20240815_170337_left_0001.jpg,0,0
b02_i02_ablauf_20240819_151350_left_0053.jpg,1,0
b02_i02_ablauf_20240819_152543_left_0004.jpg,1,0
b01_i02_a01_20240815_153658_left_0001.jpg,1,0
